dom ; request ; size ; historical ; collinearity
890.0 ; 173.0 ; 1748.392578125 ; 28.38 ; 57.38
540.0 ; 103.0 ; 1493.095703125 ; 47.53 ; 66.12
203.0 ; 48.0 ; 701.9482421875 ; 76.71 ; 65.83
96.0 ; 13.0 ; 56.228515625 ; 90.15 ; 61.53
582.0 ; 41.0 ; 1052.8818359375 ; 61.25 ; 59.41
3127.0 ; 73.0 ; 3882.982421875 ; 23.01 ; 52.00
1942.0 ; 48.0 ; 1489.8974609375 ; 36.22 ; 48.44
339.0 ; 15.0 ; 141.8916015625 ; 80.81 ; 56.35
2218.0 ; 122.0 ; 4853.9716796875 ; 14.85 ; 54.77
102.0 ; 4.0 ; 273.68359375 ; 90.00 ; 65.09
96.0 ; 13.0 ; 56.1787109375 ; 90.15 ; 61.53
496.0 ; 102.0 ; 3202.3408203125 ; 44.99 ; 68.49
51.0 ; 2.0 ; 302.11328125 ; 93.06 ; 65.68
66.0 ; 1.0 ; 15.029296875 ; 94.06 ; 66.91
1609.0 ; 196.0 ; 7656.5234375 ; 11.12 ; 70.17
81.0 ; 25.0 ; 2196.9970703125 ; 78.85 ; 77.63
1461.0 ; 86.0 ; 2778.3759765625 ; 26.84 ; 55.46
1520.0 ; 324.0 ; 4397.6337890625 ; 11.04 ; 66.96
1999.0 ; 27.0 ; 1785.10546875 ; 39.23 ; 61.73
445.0 ; 43.0 ; 1060.873046875 ; 66.28 ; 67.75
1208.0 ; 97.0 ; 2415.6640625 ; 28.58 ; 53.78
3280.0 ; 370.0 ; 24224.990234375 ; 4.89 ; 69.58
1802.0 ; 190.0 ; 38863.80859375 ; 9.76 ; 75.41
578.0 ; 81.0 ; 5281.244140625 ; 43.74 ; 70.81
753.0 ; 13.0 ; 296.03125 ; 64.54 ; 60.00
119.0 ; 66.0 ; 11057.1943359375 ; 63.80 ; 74.47
